binzm1,binzm2,binzm3,binzm4,binzm5,binzm6,bincs1,bincs2,bincs3,bincs4,bincs5,bincs6,binoo1,binoo2,binoo3,binoo4,binoo5,binoo6
1.257667431,1.562053438,1.743305738,1.274279885,1.251801474,1.278570828,1.528762223,2.168339886,1.954246853,1.685964518,1.718015096,1.555671582,5.735867822,6.045692257,6.497598464,6.288423622,6.318775917,6.157112649
1.088112866,1.408032791,1.208722229,1.191298748,1.168267352,1.136660462,1.730670734,1.87307277,1.543448572,1.608413566,1.534661048,1.373184968,5.874961052,5.672021675,5.609635226,5.716886104,5.607347166,5.626739814
1.471518972,2.117295331,1.180574078,1.181548148,1.054388328,1.119799257,1.813764935,1.526309836,1.245871776,1.72100164,2.268590282,1.422093377,5.527821819,5.570825374,5.857534606,5.896008855,5.900540223,5.963191951
0.941996255,0.894928265,0.912579361,0.898187775,0.859139923,0.993907072,1.244002007,1.737215132,1.191732762,1.353016648,1.140873302,1.379830477,5.747408803,5.458301155,5.329331371,5.249586061,5.503130395,5.922340266
1.131653077,1.134616002,1.161628926,1.031931652,1.07544316,1.110536684,1.376240219,1.230876026,1.414991558,1.440756784,1.422833653,1.490326117,6.133130369,6.271582479,6.751180102,6.089079134,5.816947825,6.072352744
0.959091243,1.040999213,1.2907866,1.0978346,1.361074545,1.425111597,1.446563632,1.346337854,1.590784095,1.393748805,1.345312241,1.438871999,5.106203924,5.502063049,5.995607338,5.11994601,5.596540723,4.985040212
1.160330042,1.097130061,1.15464264,1.156171476,1.076331357,1.180215,1.21677351,1.396673743,1.326911198,1.277639523,1.202477204,1.459688529,6.122584447,6.377098312,6.389542255,6.464680006,5.802135272,5.800797316
1.180915941,1.159640875,1.254936062,1.182639827,1.191910884,1.288148541,1.300241808,1.64537477,1.640678328,1.579561803,1.442880711,1.408967228,6.062709277,7.113303439,6.884435672,6.201329651,6.225197423,6.405944372
2.95589139,1.11453701,1.456926435,1.234430683,1.239590093,1.211602592,2.288670692,1.467693694,1.667649362,1.562987801,1.607648502,1.696806855,5.663942074,6.597898659,6.293812471,6.214595596,6.33152065,6.238468203
1.458213238,1.774028634,1.437941126,1.161573207,1.128880657,1.08871081,1.42931275,1.402347437,1.569614125,1.371253588,1.552712478,2.292929404,5.592824751,5.488975044,6.119646661,6.378266926,6.168919809,5.642666258
1.540877818,1.208900828,1.298059213,1.308814708,1.319278432,1.281636316,1.928962639,1.603270364,2.197998091,1.677147283,1.818426069,1.933237987,6.149500234,6.854328042,6.338354669,6.462185741,6.448445371,5.800902787
1.114282803,1.24084136,1.241854439,1.21857126,1.157160593,1.217474353,1.330032252,1.433522024,1.57603079,1.427623303,1.481849501,1.305237517,5.464646043,5.506489363,5.869989657,5.978327229,6.047534968,6.05965282
1.003799333,1.712685909,1.117370115,1.138514337,1.113540216,1.096918829,1.480184922,1.702599596,1.374810398,1.603094376,1.379900976,1.4998071,5.476236831,6.801968925,5.993975756,5.957573488,6.117312467,5.848161748
0.990756333,1.416453589,1.122277549,1.131794598,1.160119704,1.161101211,1.642902469,1.475902133,1.463102954,1.281531229,1.3743063,1.664968246,5.531036025,6.330953306,5.755528454,6.175716817,6.138344114,5.889287696
1.076590457,1.117780913,1.162722809,1.159310169,1.113146374,1.010024609,1.179581053,1.129285347,1.335340687,1.501721631,2.376149014,1.3654941,5.873452128,6.070845118,5.903137855,5.641836707,6.215076611,5.321713028
1.107429789,1.162100573,1.16831267,1.095806694,1.141831557,1.165454196,1.280595112,1.414417705,1.806803397,2.403892499,1.916604178,1.575778788,6.375619608,6.489320918,6.226075877,6.395566483,6.326192105,5.875555299
0.779005746,0.762273208,0.789799879,0.781719286,0.745319109,0.767298317,1.204968872,1.062891856,1.03159375,1.091078689,1.021551062,1.047367181,4.136083233,3.773081178,3.852471894,3.832300602,3.543657437,3.445153494
0.528830558,0.532673725,0.568459591,0.668879593,0.553256727,0.542686066,0.667490687,0.692478724,0.79992176,0.937889444,0.805395523,0.73195947,3.090032873,2.550409077,3.677574022,5.219914705,5.021052373,4.18995552
